,0
0,[0.         0.         0.00136518 0.00147986 0.00015599]
1,[0.         0.         0.00084651 0.00197744 0.00201547]
2,[ 0.          0.          0.00064087 -0.00194949 -0.00118756]
3,[0.         0.         0.00029588 0.00064179 0.00089419]
4,[ 0.          0.          0.00232875 -0.00168288 -0.00165856]
5,[ 0.          0.          0.00128621  0.00744534 -0.00155175]
6,[ 0.          0.          0.00361073 -0.00097954  0.00813055]
7,[ 0.          0.          0.00169426 -0.00083664 -0.00080276]
8,[ 0.          0.         -0.00063208  0.00065747 -0.00018719]
9,[ 0.          0.          0.00085309  0.00089544 -0.00167602]
10,[ 0.          0.         -0.00147128  0.0027076  -0.00126106]
11,[ 0.          0.         -0.00290692 -0.00050095 -0.00059849]
12,[ 0.          0.         -0.0022918  -0.00126874 -0.00014244]
13,[ 0.          0.          0.00127083  0.00227618 -0.00216889]
14,[0.         0.         0.0011093  0.00220859 0.00084913]
15,[ 0.          0.         -0.00120878  0.00278306 -0.00157917]
16,[ 0.          0.         -0.00150681 -0.00110906  0.00116175]
17,[0.         0.         0.00168222 0.00110912 0.00196588]
18,[0.         0.         0.00083894 0.00090075 0.00059909]
19,[ 0.          0.         -0.00022665 -0.00035161 -0.00014498]
20,[ 0.          0.          0.00136346 -0.00095567  0.00015888]
21,[0.         0.         0.00191802 0.00132161 0.00092682]
22,[ 0.          0.         -0.00166386  0.01162052  0.00178558]
23,[ 0.          0.         -0.00133979 -0.00151658  0.00085452]
24,[ 0.          0.          0.0017339  -0.00133723 -0.0016948 ]
25,[ 0.          0.         -0.00221312  0.00233471  0.00110722]
26,[ 0.          0.         -0.00090235  0.00237262  0.00018769]
27,[ 0.          0.         -0.00094721 -0.0017783  -0.00124073]
28,[ 0.          0.         -0.00161994  0.00094303  0.00219786]
29,[ 0.          0.          0.00135434 -0.00225663 -0.00056386]
30,[ 0.          0.         -0.00171703  0.00203598  0.00175714]
31,[ 0.          0.         -0.00183976  0.00139713  0.00154161]
32,[ 0.          0.          0.00190526 -0.00308383 -0.00108629]
33,[ 0.          0.         -0.0013535  -0.00050989  0.0002126 ]
34,[ 0.          0.         -0.00053081 -0.00172913  0.00252533]
35,[0.         0.         0.00176769 0.00131881 0.00088719]
36,[ 0.          0.         -0.00207961  0.00100374  0.00254107]
37,[ 0.          0.         -0.00117671  0.00227213  0.00160223]
38,[ 0.          0.          0.00191206 -0.00092235 -0.00082669]
39,[0.         0.         0.00186098 0.00150174 0.0018661 ]
40,[ 0.          0.         -0.00055218  0.00137848 -0.00239992]
41,[ 0.          0.         -0.00163692  0.00148284  0.00118959]
42,[ 0.          0.         -0.00174683 -0.00672865 -0.00102991]
43,[ 0.          0.         -0.00138295  0.00164908  0.0002014 ]
44,[ 0.          0.         -0.00175822  0.00010857 -0.00108755]
45,[ 0.          0.         -0.00237465  0.00154632  0.00161308]
46,[ 0.          0.          0.00037193 -0.00015306  0.00026131]
47,[ 0.          0.         -0.00042506 -0.00104558  0.00021827]
48,[ 0.          0.         -0.01161814 -0.00055957 -0.00023081]
49,[ 0.          0.         -0.00140864  0.00165915 -0.00303614]
50,[ 0.          0.         -0.00011572 -0.00088224 -0.00020529]
51,[ 0.000000e+00  0.000000e+00 -9.035766e-04  7.516444e-04 -9.648502e-05]
52,[ 0.          0.         -0.00117069 -0.00189215 -0.00100595]
53,[ 0.          0.          0.00174809  0.00047041 -0.0012607 ]
54,[ 0.          0.         -0.00032943  0.00156623  0.00074816]
55,"[ 0.0000000e+00  0.0000000e+00 -6.6337585e-03  3.4092367e-04
  9.5967203e-05]"
56,[ 0.          0.         -0.00105709 -0.00138998  0.00024484]
57,[0.         0.         0.00187457 0.00115162 0.00087792]
58,[0.         0.         0.00199986 0.0032537  0.00090027]
59,[ 0.          0.         -0.00173122  0.00255764  0.00059372]
60,[ 0.          0.          0.00231135  0.00155503 -0.00169718]
61,[ 0.          0.         -0.00110984  0.00094563 -0.00017995]
62,[ 0.          0.          0.00191432 -0.00088626  0.00013003]
63,[ 0.          0.          0.00172544  0.00084102 -0.00011684]
64,[ 0.          0.          0.00146425 -0.00240874  0.00145704]
65,[0.         0.         0.00134903 0.001701   0.00149316]
66,[ 0.          0.          0.00083202 -0.00184268 -0.00117648]
67,[ 0.          0.          0.0020175   0.00213325 -0.00181657]
68,[ 0.          0.         -0.00159097 -0.00191873  0.00020126]
69,[ 0.          0.         -0.00139314  0.00027363  0.00039981]
70,[ 0.          0.         -0.00112134 -0.0007939  -0.00075847]
71,[ 0.          0.          0.00176555 -0.00096741  0.00054511]
72,[ 0.          0.         -0.00088757 -0.00153214  0.00056866]
73,[ 0.          0.         -0.00193685  0.00219691  0.00144994]
74,[ 0.          0.         -0.00130326  0.00106597  0.00831223]
75,[ 0.          0.          0.00095755 -0.00094616  0.00063592]
76,[ 0.          0.          0.00229561  0.00147665 -0.00091738]
77,[ 0.          0.          0.00103515  0.00245059 -0.00278521]
78,[0.         0.         0.00221431 0.00155663 0.00253713]
79,[0.         0.         0.00074694 0.00127918 0.00201511]
80,[ 0.          0.         -0.00119656  0.00111139 -0.00030823]
81,[ 0.          0.         -0.00037695 -0.00080863 -0.00033084]
82,[ 0.          0.         -0.00104767  0.00025946  0.0005677 ]
83,[ 0.          0.          0.00080609 -0.00109226  0.00246572]
84,[ 0.          0.         -0.00191557  0.00089234 -0.00133038]
85,"[ 0.0000000e+00  0.0000000e+00 -8.3965063e-04 -9.0417862e-03
  5.9096143e-05]"
86,[ 0.          0.          0.00080788 -0.00182748 -0.00153047]
87,[ 0.          0.          0.00145024 -0.00052813  0.00125533]
88,[ 0.          0.          0.00076601  0.00122738 -0.0016315 ]
89,[ 0.          0.         -0.00146866  0.0007253  -0.00166225]
90,[ 0.          0.          0.00057077 -0.00088888  0.00010638]
91,[ 0.          0.          0.00027969 -0.00072074  0.00018459]
92,[ 0.          0.         -0.0014599   0.00243998 -0.00113678]
93,[ 0.          0.         -0.00176561 -0.00087532 -0.00042704]
94,[0.         0.         0.0025593  0.00161952 0.00109005]
95,[ 0.          0.          0.00067544 -0.00228655 -0.00037986]
96,[ 0.          0.          0.00196862 -0.00162607 -0.00041461]
97,[ 0.          0.          0.00213981 -0.00099736  0.0009501 ]
